question_text,answer_text
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 1,"1
GUIDED AND 
UNGUIDED NETWORK 
SYSTEMS
SECTION  
4
Year 1Information Communication Technology"
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 2,"2
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Network Systems for Transmitting 
Information
Guided and Unguided Network Systems
Introduction
This section is designed to introduce you to how computers and other digital tools 
are linked to communicate. You will explore the fundamental concepts of computer 
networks, how networks are structured, how they operate, and their applications 
in various settings. As you embark on this journey, you will explore and learn how 
computers and other digital tools are connected together to share information and 
resources easily and effectively offering deeper understanding guided and unguided 
network systems.
We will start by defining what a computer network is, network topologies, network 
architectures, guided and unguided transmissions and identify common devices 
required to create a network. We will also discuss in the section how data transmission 
occurs under different circumstances in a network.
Remember, creating networks is just like making new friends and establishing a 
relationship with them to communicate and share information regardless of where 
they are. So, stay curious, ask questions and take advantage of this opportunity to learn 
skills and understand the importance of communication networks in today’s crucial 
digital world.
At the end of this section, you will be able to:
• Classify Network Types and Topologies
• Classify transmission media used to send receive data in a network environment
Key Ideas:
• A Computer Network is a group of computers and other devices connected together 
to share information and resources with or without cable irrespective of their locations.
• Network Type: computer networks classification based on geographical setting
• Network Architecture: refers to the design and layout of a computer network. It’s like 
the blueprint for how different devices (like computers, routers, and printers) connect 
and communicate with each other.
• Cloud Network: refers to using the internet to access and manage resources like storage, 
applications, and services instead of relying on local servers or hardware. It is like having"
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 3,"3
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
an online school library, computer lab, and filing cabinet all in one location.
• Network Topology: is the arrangement of devices and connections in a network. It 
determines how data travels and how devices are linked, impacting the network’s 
efficiency and reliability
• Guided transmission media (wired): the use of cables to connect a device to another 
in a network. They are called “guided” because the signals are directed along a specific 
path, usually within a cable. Example Coaxial, Twisted pair etc.
• Unguided transmission media (wireless) : refer to the methods of sending data 
without using physical cables. Instead, the signals travel through the air, water, or even 
space. These are commonly used for wireless communication. Example Bluetooth, Wi-
Fi etc.
What is a Computer Network?
If you can make friends and communicate with them irrespective of where you are, 
then you have created a network. In the same way computers are connected to other 
devices to communicate among themselves.
A computer network is a group of two or more computers or devices connected together 
so they can share information, resources, and communicate with each other. This 
connection can be made using wires, like Ethernet cables, or wirelessly, like Wi-Fi.
A standalone computer is a computer that works independently, without needing to be 
connected to a network or other computers.
Advantages of a Computer Network Over Stand-
Alone Computers
Computer networks offer many benefits, which have significantly transformed how we 
communicate, access information and conduct business. Some of the key advantages 
of computer networks over having a set of stand-alone computers include:
Advantages Computer network Stand-alone computer
Resource sharing Allows sharing of resources 
like printers, files, and internet 
connections.
Resources are used individually 
without sharing.
Data sharing and 
collaboration
Facilitates easy data sharing and 
collaborative work.
Data sharing is manual and 
often less efficient.
Shared Internet 
access
Enable sharing of internet services 
with other devices
The internet cannot be shared 
with other devices.
Centralised 
management
Enables centralised management of 
resources and security.
Each computer must be 
managed individually."
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 4,"4
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Communication Provides built-in communication 
tools like email and messaging 
systems.
Communication tools are often 
separate and less integrated.
Improved 
efficiency
Applications can be installed on 
a central server and accessed by 
multiple users.
Applications cannot be 
accessed by multiple users.
Remote access Allows access to files and resources 
from remote location
Typically requires physical 
access to the computer
Scalability Networks is set up in a way that 
makes it easy to add more devices 
and users.
Depends only one user at time.
Cost savings Reduces costs by sharing expensive 
hardware and software.
Requires individual purchases 
of hardware and software.
Global 
connectivity
W AN and internet are huge webs 
of connected computers which 
allow people to share different 
information
It relies only on software and 
information installed on them.
Figure 4.1: A possible layout of a local Area Network"
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 5,"5
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Activity 4.1
In this activity you are to research on the benefits of computer network in our 
everyday lives. Perform this activity in groups or as an individual.
Materials needed: Computer with internet access, Projector, Smartphone with 
internet access, exercise book and pen.
Instructions:
Choose one of following topics:
• Resource Sharing
• File Sharing and Data Accessibility
• Communication and Collaboration
• Centralised Data Management
• Improved efficiency
Discuss the benefit, real-world examples and applications.
You should consider how this benefit impacts different fields, such as education, 
business, or healthcare.
Steps:
1. Open any web browser on your computer.
2. Type the name of your chosen topic e.g. Resource sharing
3. Click on any hyperlink to display the content (if the content does not reflect a 
good understanding of desired searched result, go back and select on another 
hyperlink) search results.
4. Read and make relevant notes on the benefit, real-world examples and 
applications.
5. Share your findings with your peers.
Note: In the absence of internet connection, consult your teacher or textbooks."
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 6,"6
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Network Hardware
There are several hardware components that are used in network connectivity. The 
following are the key components that are needed in every network system:
1. Nodes: A node can be anything that sends, receives, or forwards information. This 
could be a computer, a printer, a router, or even a smartphone. Each of these devices 
can talk to each other over the network, sharing information like messages, files, or 
accessing the internet. So, a network node is basically any device that can connect 
and communicate within a network.
. 
Figure 4.2: Network with 6 connected nodes
2. Network interface card (NIC):  A Network Interface Card (NIC) is a piece of 
hardware in a computer that allows it to connect to a network, like the internet or a 
local area network (LAN). Think of it like a translator between your computer and 
the network. Just as you might need a translator to help you understand another 
language, your computer needs a NIC to “talk” to other computers and devices 
over the network. The NIC takes data from your computer, converts it into signals 
that can travel over a network cable (or wirelessly), and then sends it to the right 
place. It also does the reverse: it takes signals from the network, converts them 
back into data that your computer can understand, and then delivers it to the right 
application. Without a NIC, your computer cannot be able to connect to the internet 
or communicate with other computers."
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 7,"7
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Figure 4.3: Network interface card
3. Communication Channels: A communication channel is like a path that allows 
information to travel from one place to another. Imagine you are sending a message 
to a friend. The way you send that message could be through a spoken conversation, 
a text message, or an email. Each of these methods is a different “communication 
channel.” In computer networks, a communication channel is a pathway that data 
(which is like the message you send) moves between devices. This data could travel 
through wires, like in Ethernet cables, or wirelessly, like Wi-Fi signals. The channel 
makes sure the information goes from one device to another so they can “talk” to 
each other, just like how you talk to your friend using different methods.
4. Hub: This device serves as a central connection point for multiple devices in a 
network. It relays any signal it receives with some amplification back out to all 
the devices connected to it. Hubs are less common today due to their inefficiency 
(bandwidth is shared) and lack of intelligence in data transmission, causing 
potential security breaches.
Figure 4.4: A hub connected to devices"
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 8,"8
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
5. Switches: These are devices that facilitate the connection and communication 
between multiple devices within a local area network (LAN). They use MAC 
addresses (media access control addresses) to forward data to the intended recipient. 
A MAC address is a 48-bit number assigned to each device connected to the network. 
This intelligence difference between a hub and a switch is illustrated in Figure 4.5.
Figure 4.5: A hub and a switch – the switch sends the data to ONLY the correct recipient, whereas a hub sends 
any data to ALL devices.
6. Routers: A router is like a traffic manager for your home or office internet. When 
you connect to Wi-Fi, the router takes the data from your device (like a laptop 
or phone) and sends it to the right place on the internet, and then it brings back 
the information you asked for, like a website or a video. It helps different devices 
on the same network talk to each other and ensures everything goes to the right 
destination, much like a postal service sorting letters and packages to deliver them 
to the correct addresses.
Figure 4.6: Router
7. Modems: A modem is a device that allows your computer to connect to the 
internet. These devices are used to modulate and demodulate digital signals to 
enable communication over analogue communication channels such as telephone 
lines. A modem is an essential piece of hardware for a computer to connect to the 
internet. Modem router combo devices combine the functionalities of routers and 
modems."
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 9,"9
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
Figure 4.7: Modem
8. Network Cables and Connectors:  These physical cables (e.g., Ethernet cables) 
and connectors are used to establish wired connections between devices in a 
network. A network cable is like a road that connects different devices, such as 
computers, printers, and routers, so they can share information with each other. 
Just like cars travel on roads to get from one place to another, data (information) 
travels through network cables to move between devices.
Figure 4.8: Network Cables with connectors
9. Wireless Access Points (WAPs): These provide wireless connectivity to devices 
within a local area network, allowing them to connect to the network without the 
need for physical cables. Some W APs can be wall-mounted – see Figure 4.9.
Figure 4.9: A Wireless Access Point (W AP)"
Explain key concepts from ICT_LM_FINAL_SECTION_4-LV - Page 10,"10
GUIDED AND UNGUIDED NETWORK SYSTEMSSECTION4
10. Workstation: A term sometimes used to describe a computer (usually desktop) 
connected to a LAN. Each of these components play a specific role in a network, 
contributing to the efficiency and effectiveness of its operation. They work together 
to enable data sharing, resource sharing and communication between network 
devices and users.
Figure 4.10: A Workstation
Activity 4.2
This activity tests your understanding on the various types of network hardware 
and how prepare budget for its purchase.
Materials needed : Computer with internet access, Smartphone with internet 
access, exercise book and pen.
Instructions:
• Open any web browser of your choice.
• Using a search engine, research different types of networking hardware.
• Select at least three network hardware detailing features, costs, and brand 
reputation.
• Use reliable sources for your research (e.g., manufacturer websites, tech 
reviews).
• Using your research, please put together the price to construct a network 
and justify your choices.
• Prepare a short presentation on your findings. Deliver the presentation to 
the entire class."
