question_text,answer_text
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 1,"INTERNET EVOLUTION, 
ISPs AND THEIR 
FUNCTIONS
SECTION  
3
Year 1Information Communication Technology"
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 2,"1
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
ICTs IN THE SOCIETY
Connecting and Communicating Online
INTRODUCTION
Welcome, learner. In this section, you will be introduced to the concept of the internet 
and its numerous advantages as well as some disadvantages associated with the usage 
of the internet. You will explore internet services, the evolution of the internet and 
how the internet works. In addition, you will learn about and explore Internet Service 
Providers (ISPs) and their functions. 
At the end of this section, you should be able to:
• Describe the evolution of the Internet and identify the Internet Service Providers (ISPs) 
and their functions.
Key Ideas
• The internet is a global or worldwide interconnection of computer networks for 
communication and data services using protocols which allows users to:
• Connect easily through personal computers.
• Exchange electronic mail (email) with friends and colleagues.
• Post information for others to access and update. 
• Access multimedia information that includes sound, photographic images and video.
• Access diverse perspectives from around the world
• The internet provides services such as the World Wide Web (WWW), email, social 
networking, search engines, online shopping and many more. 
• The internet comes with a lot of advantages and some disadvantages.
• There are two groups of computers on the internet, namely servers or host and client 
computers. 
• The host or server computers house the information that users need on the internet. 
• Servers are created and managed by companies called Internet Service Providers (ISPs). 
• ISPs play a major role in sustenance of the functioning of the internet."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 3,"2
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
WHAT IS THE INTERNET?
What comes to your mind when you hear the term internet? 
The Internet
The internet is a global interconnection of computer networks for communication and 
data services using protocols. 
Protocols are rules and standards that govern communication on a network.
The internet involves an interconnection of networks such as private, public, academic, 
business and government networks. 
Transmission Control Protocol/Internet Protocol (TCP/IP) are used in the transmission 
of data to the right destination. The internet is a network of networks linked by a broad 
array of electronic, wireless and optical networking technologies.
The Internet Provides a Vast Range of Services, these 
Services include
1. The World Wide Web (WWW)
The World Wide Web (WWW) , often referred to as the internet’s backbone, is a 
system of interconnected public webpages. 
It is made up of all the public websites that users can access on their computers through 
the internet. 
Hyperlinks are used to interconnect Web pages and documents on these sites. When a 
user clicks on a hyperlink, she/he is redirected to a different location for the information. 
Users access and navigate websites through programs called web browsers.
A web browser is a software application used to access information on the World Wide 
Web.
Figure 3.1: Some popular internet browsers"
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 4,"3
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
2. Email Services
Email, short for electronic mail, is a message distributed by electronic means from one 
computer user to one or more recipients via a network.
Email is convenient, fast, and economic means of exchanging messages. These 
messages can include text, pictures and animations, and can have file attachments.  
Email has become an essential tool for personal and professional communication. 
Examples of web-based email providers are Gmail, Outlook, and AOL. 
Figure 3.2: Examples of web-based email providers
3. Social Networking Services
Social networking  is the use of internet-based social media platforms to connect with 
friends, family, or peers.
Marketers use social networking to increase brand recognition and encourage brand 
loyalty.
Popular social networking sites include Facebook, Instagram, TikTok, WhatsApp, and 
X. 
Figure 3.3: Popular social networking sites
4. Search Engines Services
Search engines are web-based application software or programs that enables users to 
locate information on the World Wide Web."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 5,"4
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
Search engines help people find the information they are looking for online using 
keywords or phrases. They employ complex algorithms to provide relevant search 
results based on user queries, enabling efficient information retrieval. Examples of 
search engines are Google, Yahoo, Yandex, AOL
Figure 3.4 Some popular search engines
As illustrated in the statistics in Figure 3.5, Google currently has the highest share of 
the search engine market worldwide by a long way, with over 90%.
Figure 3.5: Search engine statistics. Source: www.statcounter.com, April 2024
5. Online Shopping Services
Online shopping, also known as e-commerce, is the activity of buying and selling goods 
or services over the internet.
Online shopping  has changed the way many people buy products and services. It 
provides a wide variety of items that users can buy from the comfort of their homes 
through websites and apps. Online shopping comes with some advantages such as: 
a. It provides convenience for users
b. It provides extensive product choices for users, and 
c. It provides competitive pricing for users.
Online shopping has reshaped the retail industry and consumer habits. Amazon leads 
the global e-commerce market. Its inventory (April 2024) included  12 million  items 
and 350 million third-party sellers list items. 
Examples of online shopping sites in Ghana include Jumia Ghana, Shopwice, Afrikart, 
KiKUU, and Superprice."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 6,"5
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
Figure 3.6: Some online shopping sites in Ghana
6. File Transfer Services
File Transfer Services enable the seamless transfer files over the internet. File Transfer 
services help individuals and businesses share documents, media and data with others 
digitally through platforms like File Transfer Protocol (FTP).
7. Streaming Services
Streaming services are online platforms providing on-demand access to movies, TV shows, 
music, and more which allow users to enjoy entertainment at their convenience.
The rise of streaming has led to changes in how many people watch and listen to media, 
with many traditional cable and radio services adapting to the digital streaming trend. 
Examples of streaming platforms include Netflix, Apple TV , Amazon Prime Video, and 
Spotify
Figure 3.7: Some streaming platforms  
8. Cloud Storage Services
Cloud storage is a mode of computer data storage in which data is stored on servers in 
remote locations. Users can store files and data in the cloud, making them accessible 
from anywhere with an internet connection.
Cloud storage is cheaper in cost compared to the acquisition of a storage device. It can 
easily be used as a back-up system. Cloud storage cannot be accessed without network 
connectivity which means, one will need a network connection to access files from 
cloud storage."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 7,"6
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
The servers are maintained by a third-party provider who is responsible for hosting, 
managing, and securing data and stored on its infrastructure. 
Examples of cloud storage services are Google Drive, Dropbox and iCloud.
Google Drive Dropbox iCloud
Figure 3.8: Examples of cloud storage services
9. Online Gaming Services
Online gaming is the playing of a video game over the internet or any computer network. 
Examples of online game services are: Steam, Xbox Live, PlayStation Network, and the 
Epic Games Store.
Online games bring a lot of people across the world together to form digital 
communities. It creates competition among players at the same time serving as a source 
of entertainment. Online gaming has become one of the most popular and fastest-
growing sports in the world.
Steam Xbox Live PlayStation Network Epic Games Store
Figure 3.9: Online gaming platforms
Difference between Internet and World Wide Web
Some people incorrectly interchange the terms ‘internet’ and ‘world wide web’ . They 
are not the same thing.  The table below highlights the differences between them.
Internet World Wide Web
• The internet is a global 
interconnection of computer networks. 
• The internet is infrastructure.
• The World Wide Web is a collection of 
information accessed via the internet.
• The WWW is a service on top of the 
infrastructure provided by the internet."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 8,"7
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
Activity 3.1
Instructions:
In this activity, you are going to match the images in Group A with their 
corresponding names (descriptions) in Group B. Write your answers in your 
notebook and compare with your colleagues. This activity can be done in groups 
or individually.
Materials needed: Notebook or a jotter, pen, ruler.
Match the images(icons) in Group A with their correct names and descriptions 
in Group B.
Group A (Image) Group B (Name)
Instagram
A free photo and video sharing app available on iPhone and 
Android.
Facebook
A social networking site that makes it easy for you to connect and 
share with family and friends online
Google Chrome
Is a free internet browser developed by google that is used for 
accessing the information available on the World Wide Web
WhatsApp
A free, multiplatform messaging app that lets you make video and 
voice calls, send text messages, and more
Microsoft Edge
Is a cross-platform browser developed by Microsoft that’s installed 
by default on all new Windows devices
Tiktok
Is a social media platform for creating, sharing and discovering 
short videos
Follow the steps below:
Step 1
Draw a two-column table with the headings in the table above (Group A (Images) 
and Group B (Description).
Step 2
Write the numbers representing the images in the first column (1, 2, 3, 4, 5, 6, 7)
Step 3
Carefully observe the images and write one of the descriptions against each 
image’s number in the second column."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 9,"8
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
Step 4
Compare your work with what your classmates did and finally submit it to your 
class teacher for a whole class discussion.
EVOLUTION OF THE INTERNET
The number of internet users has increased so much from the time internet started. It 
is expected that the number of internet users will reach 6.54 billion by 2025. Sharing 
information and knowledge has become extremely easy for those that have access to 
the internet. As a result, the number of computer networks that are connected to the 
internet also increased significantly.
Let us Take a Look at How the Internet Started
1. The internet started in the USA in the late 1960s for government researches to 
share information. The academic, military and government agencies’ computers 
across USA interacted and shared information on a single network via telephone 
lines. This network was called Advanced Research Projects Agency Network 
(ARPANET). 
 This project was funded by the U.S. Department of Defense. Computer files were 
broken into smaller segments called packets before being transmitted over the 
network and then reordered back into a single file at their destination, known as 
packet switching.
2. A lot of computer networks joined ARPANET which led to an agreed set of 
rules for data handling and transmission over the network. In the 1970’s, TCP/
IP (Transmission Control Protocol/Internet Protocol). TCP made it possible for 
computers to speak the same language which helped ARPANET to grow into a 
global interconnected network of networks (internetworking – internet for short).
 IP when combined with TCP , helps internet traffic find its destination. Every device 
connected to the internet is given a unique IP number. Known as an IP address, the 
number can be used to find the location of any internet-connected device in the 
world.
3. The growth of ARPANET resulted in email though it was not intentionally planned 
to be so.
 As the network increased in popularity and scope, users quickly realised the 
potential of the network as a tool for sending messages between different ARPANET 
computers. The first email was sent in 1971.
4. As time went on, the number of computers on the network increased making it 
difficult to keep track of all the different IP addresses. This problem was solved 
by the introduction of the Domain Name System (DNS) in 1983. The DNS is the 
internet’s equivalent of a phone book and converts hard-to-remember IP addresses 
into simple names."
Explain key concepts from ICT_LM_FINAL_SECTION_3-LV - Page 10,"9
INTERNET EVOLUTION, ISPs AND THEIR FUNCTIONSSECTION 3
5. A British computer scientist by name Tim Berners-Lee invented the World Wide 
Web (WWW) at CERN (the European Organisation for Nuclear Research) in 
Switzerland in the year 1989 which was opened to the public in 1991. Tim Berners-
Lee wrote three technologies; URL, HTML and HTTP. This enabled  a user-friendly 
interface for the internet that allowed it to enter everyday use.
6. Some of the other milestones in the evolution of the internet are shown in Figure 
3.10.
Figure 3.10: Evolution of the internet
In brief, the internet stated in the United States in the 1960s but did not become visible 
to the public until the early 1990s. 
Internet usage has steadily and rapidly increased since then. By 2020, approximately 
4.5 billion people, or more than half of the world’s population, were estimated to have 
had access to the internet. 
According to Statista (www. Statisa.com), 5.35 billion people use the internet worldwide 
as of 2024, accounting for 66.04% of the global population. With over 1.05 billion users, 
China has the highest number of internet users. 
India and the United States follow with 729 million and 692 million internet users, 
respectively. 
The percentage of the population using the internet in Ghana has also been growing 
rapidly. As of January 2023, Ghana registered approximately 24.06 million internet 
users, growing from the 23 million reported in 2022. 
Several factors drive the continued growth of internet users in Ghana and elsewhere. 
These factors include the increasing affordability of smartphones and mobile data, 
and the growing popularity of online services such as online shopping/e-commerce, 
streaming video, and social media."
